timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,flags,event_type
2026-04-28 13:50:00,192.168.100.50,10.0.0.5,45000,21,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:01,192.168.100.50,10.0.0.5,45001,22,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:02,192.168.100.50,10.0.0.5,45002,23,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:03,192.168.100.50,10.0.0.5,45003,25,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:04,192.168.100.50,10.0.0.5,45004,53,UDP,42,,,Connection Attempt
2026-04-28 13:50:05,192.168.100.50,10.0.0.5,45005,80,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:06,192.168.100.50,10.0.0.5,45006,110,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:07,192.168.100.50,10.0.0.5,45007,143,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:08,192.168.100.50,10.0.0.5,45008,443,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:09,192.168.100.50,10.0.0.5,45009,445,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:10,192.168.100.50,10.0.0.5,45010,3306,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:11,192.168.100.50,10.0.0.5,45011,3389,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:12,192.168.100.50,10.0.0.5,45012,5900,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:13,192.168.100.50,10.0.0.5,45013,8080,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:14,192.168.100.50,10.0.0.5,45014,8443,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:15,192.168.100.50,10.0.0.5,45015,9200,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:16,192.168.100.50,10.0.0.5,45016,27017,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:17,192.168.100.50,10.0.0.5,45017,5432,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:18,192.168.100.50,10.0.0.5,45018,6379,TCP,74,SYN,Connection Attempt
2026-04-28 13:50:19,192.168.100.50,10.0.0.5,45019,11211,TCP,74,SYN,Connection Attempt
2026-04-28 13:58:05,192.168.100.50,10.0.0.5,54021,22,TCP,128,PSH ACK,SSH Session
2026-04-28 13:59:35,10.0.0.5,10.0.0.10,52100,22,TCP,128,SYN,Connection Attempt
2026-04-28 13:59:36,10.0.0.5,10.0.0.20,52101,22,TCP,128,SYN,Connection Attempt
2026-04-28 13:59:37,10.0.0.5,10.0.0.30,52102,22,TCP,128,SYN,Connection Attempt
2026-04-28 13:59:38,10.0.0.5,10.0.0.40,52103,3389,TCP,128,SYN,Connection Attempt
2026-04-28 13:59:39,10.0.0.5,10.0.0.50,52104,445,TCP,128,SYN,Connection Attempt
2026-04-28 14:00:10,10.0.0.5,10.0.0.10,52100,22,TCP,4096,PSH ACK,SSH Session
2026-04-28 14:00:30,10.0.0.5,10.0.0.20,52101,22,TCP,4096,PSH ACK,SSH Session
2026-04-28 14:02:20,10.0.0.5,10.0.0.10,52100,22,TCP,8192,PSH ACK,Data Transfer
2026-04-28 14:05:00,10.0.0.5,192.168.100.50,34567,9001,TCP,65535,PSH ACK,Large Transfer
2026-04-28 14:05:15,10.0.0.5,192.168.100.50,34568,9001,TCP,65535,PSH ACK,Large Transfer
2026-04-28 14:05:30,10.0.0.5,192.168.100.50,34569,9001,TCP,65535,PSH ACK,Large Transfer
2026-04-28 14:05:45,10.0.0.5,192.168.100.50,34570,9001,TCP,65535,PSH ACK,Large Transfer
2026-04-28 14:06:00,10.0.0.5,192.168.100.50,34571,9001,TCP,65535,PSH ACK,Large Transfer
2026-04-28 14:08:00,10.0.0.5,203.0.113.50,45678,4444,TCP,256,PSH ACK,C2 Traffic
2026-04-28 14:08:30,10.0.0.5,203.0.113.50,45678,4444,TCP,256,PSH ACK,C2 Traffic
2026-04-28 14:09:00,10.0.0.5,203.0.113.50,45678,4444,TCP,256,PSH ACK,C2 Traffic
2026-04-28 14:09:30,10.0.0.5,203.0.113.50,45678,4444,TCP,256,PSH ACK,C2 Traffic
2026-04-28 14:10:00,10.0.0.5,203.0.113.50,45678,4444,TCP,256,PSH ACK,C2 Traffic
2026-04-28 14:10:30,10.0.0.5,203.0.113.50,45678,4444,TCP,256,PSH ACK,C2 Traffic
